"h [mm]","w [mm]","Freq [GHz]","re(Zo(Port_In)) []","im(Zo(Port_In)) []","dB(S(Port_In,Port_In)) []","dB(S(Port_Out,Port_In)) []"
0.05,0.03,6.32,55.2222438547191,-1.33733053278759,-29.0283140081602,-0.217437403750387
0.05,0.03,6.358,55.2206708923763,-1.32930731917404,-28.9877458902176,-0.218048396761049
0.05,0.03,6.396,55.2191183376997,-1.32137308123098,-28.9475651467939,-0.21866105574185
0.05,0.03,6.434,55.2175858132525,-1.3135263519216,-28.9077681754762,-0.219275377330856
0.05,0.03,6.472,55.2160729498162,-1.30576569620201,-28.8683514402103,-0.219891357790823
0.05,0.03,6.51,55.2145793861847,-1.29808971014806,-28.8293114697528,-0.220508993020306
0.05,0.03,6.548,55.2131047689637,-1.2904970201114,-28.7906448561686,-0.221128278564432
0.05,0.03,6.586,55.211648752376,-1.282986281903,-28.7523482533726,-0.221749209625391
0.05,0.03,6.624,55.2102109980716,-1.2755561800038,-28.714418375714,-0.222371781072593
0.05,0.03,6.662,55.2087911749444,-1.26820542680091,-28.6768519966016,-0.22299598745259
0.05,0.03,6.7,55.2073889589522,-1.26093276184851,-28.6396459471683,-0.223621822998674
0.05,0.03,6.738,55.2060040329436,-1.25373695115252,-28.6027971149745,-0.224249281640253
0.05,0.03,6.776,55.2046360864879,-1.24661678647825,-28.566302442748,-0.224878357011937
0.05,0.03,6.814,55.2032848157112,-1.23957108467984,-28.5301589271599,-0.225509042462404
0.05,0.03,6.852,55.201949923136,-1.23259868705104,-28.4943636176349,-0.226141331063011
0.05,0.03,6.89,55.2006311175259,-1.2256984586962,-28.458913615195,-0.226775215616172
0.05,0.03,6.928,55.1993281137335,-1.21886928792093,-28.4238060713358,-0.227410688663538
0.05,0.03,6.966,55.1980406325541,-1.21211008564173,-28.3890381869334,-0.228047742493932
0.05,0.03,7.004,55.1967684005817,-1.20541978481355,-28.3546072111821,-0.228686369151098
0.05,0.03,7.042,55.1955111500699,-1.19879733987518,-28.3205104405611,-0.229326560441232
0.05,0.03,7.08,55.1942686187964,-1.19224172621123,-28.2867452178294,-0.229968307940346
0.05,0.03,7.118,55.1930405499309,-1.18575193963063,-28.2533089310485,-0.23061160300142
0.05,0.03,7.156,55.1918266919069,-1.17932699586059,-28.2201990126307,-0.23125643676138
0.05,0.03,7.194,55.1906267982966,-1.1729659300559,-28.1874129384143,-0.231902800147914
0.05,0.03,7.232,55.1894406276893,-1.16666779632267,-28.1549482267626,-0.232550683886105
0.05,0.03,7.27,55.1882679435733,-1.16043166725622,-28.1228024376874,-0.233200078504906
0.05,0.03,7.308,55.1871085142205,-1.15425663349251,-28.0909731719961,-0.233850974343469
0.05,0.03,7.346,55.1859621125742,-1.14814180327273,-28.0594580704606,-0.234503361557298
0.05,0.03,7.384,55.1848285161402,-1.14208630202053,-28.0282548130093,-0.235157230124277
0.05,0.03,7.422,55.1837075068802,-1.13608927193146,-27.9973611179391,-0.23581256985055
0.05,0.03,7.46,55.1825988711087,-1.13014987157422,-27.9667747411484,-0.236469370376266
0.05,0.03,7.498,55.1815023993919,-1.12426727550338,-27.936493475391,-0.237127621181176
0.05,0.03,7.536,55.1804178864495,-1.11844067388298,-27.9065151495476,-0.237787311590127
0.05,0.03,7.574,55.1793451310598,-1.1126692721209,-27.8768376279174,-0.238448430778412
0.05,0.03,7.612,55.1782839359657,-1.10695229051354,-27.8474588095278,-0.239110967777011
0.05,0.03,7.65,55.1772341077847,-1.10128896390029,-27.818376627461,-0.23977491147771
0.05,0.03,7.688,55.1761954569203,-1.09567854132784,-27.7895890481985,-0.240440250638119
0.05,0.03,7.726,55.1751677974762,-1.09012028572359,-27.7610940709821,-0.241106973886562
0.05,0.03,7.764,55.1741509471722,-1.08461347357827,-27.7328897271907,-0.241775069726886
0.05,0.03,7.802,55.1731447272626,-1.07915739463708,-27.704974079733,-0.242444526543152
0.05,0.03,7.84,55.1721489624569,-1.07375135159937,-27.677345222456,-0.243115332604221
0.05,0.03,7.878,55.1711634808419,-1.06839465982646,-27.650001279567,-0.243787476068278
0.05,0.03,7.916,55.1701881138065,-1.06308664705741,-27.6229404050715,-0.244460944987234
0.05,0.03,7.954,55.1692226959675,-1.05782665313217,-27.5961607822238,-0.245135727311039
0.05,0.03,7.992,55.1682670650984,-1.05261402972266,-27.5696606229918,-0.245811810891941
0.05,0.03,8.03,55.1673210620592,-1.04744814007045,-27.5434381675352,-0.24648918348861
0.05,0.03,8.068,55.166384530728,-1.04232835873172,-27.5174916836956,-0.247167832770239
0.05,0.03,8.106,55.165457317935,-1.03725407132892,-27.4918194665001,-0.247847746320514
0.05,0.03,8.144,55.1645392733969,-1.03222467430887,-27.4664198376766,-0.248528911641564
0.05,0.03,8.182,55.1636302496546,-1.02723957470719,-27.4412911451807,-0.249211316157772
0.05,0.03,8.22,55.1627301020108,-1.02229818991901,-27.4164317627339,-0.249894947219574
0.05,0.03,8.258,55.1618386884702,-1.01739994747529,-27.391840089374,-0.250579792107162
0.05,0.03,8.296,55.160955869681,-1.01254428482534,-27.367514549015,-0.251265838034117
0.05,0.03,8.334,55.1600815088775,-1.00773064912456,-27.3434535900184,-0.251953072150993
0.05,0.03,8.372,55.1592154718245,-1.00295849702773,-27.3196556847744,-0.252641481548831
0.05,0.03,8.41,55.1583576267626,-0.998227294487689,-27.2961193292934,-0.253331053262607
0.05,0.03,8.448,55.1575078443557,-0.993536516558819,-27.2728430428068,-0.25402177427463
0.05,0.03,8.486,55.1566659976385,-0.988885647205756,-27.2498253673777,-0.254713631517875
0.05,0.03,8.524,55.1558319619667,-0.984274179116811,-27.2270648675208,-0.255406611879291
0.05,0.03,8.562,55.1550056149672,-0.979701613521944,-27.2045601298307,-0.256100702202981
0.05,0.03,8.6,55.1541868364901,-0.975167460015445,-27.1823097626195,-0.256795889293435
0.05,0.03,8.638,55.153375508562,-0.970671236382896,-27.1603123955631,-0.257492159918619
0.05,0.03,8.676,55.15257151534,-0.96621246843242,-27.1385666793551,-0.258189500813082
0.05,0.03,8.714,55.151774743067,-0.96179068983005,-27.1170712853692,-0.258887898680962
0.05,0.03,8.752,55.1509850800281,-0.957405441939244,-27.0958249053299,-0.259587340198996
0.05,0.03,8.79,55.150202416508,-0.953056273664099,-27.0748262509897,-0.260287812019445
0.05,0.03,8.828,55.1494266447496,-0.948742741296622,-27.0540740538153,-0.260989300773003
0.05,0.03,8.866,55.1486576589128,-0.944464408367456,-27.0335670646796,-0.261691793071653
0.05,0.03,8.904,55.1478953550356,-0.940220845500306,-27.0133040535621,-0.262395275511479
0.05,0.03,8.942,55.1471396309951,-0.936011630269897,-26.9932838092555,-0.263099734675449
0.05,0.03,8.98,55.1463903864695,-0.931836347063216,-26.973505139079,-0.263805157136147
0.05,0.03,9.018,55.1456475229016,-0.927694586944105,-26.9539668685987,-0.264511529458483
